,Website,multilingual,attachments,payment,formulare,contact_info,chatbot,socialmedia,digital_score,country
0,daxihhexdv.in,3,14,no,17,yes,no,1,0.3,Spain
1,csnbacghq.net,4,44,yes,9,no,no,2,0.5,Bulgaria
2,rgwuw.net,2,0,yes,2,no,yes,3,0.6000000000000001,Netherlands
3,hosizayz.gov,4,24,yes,6,yes,yes,4,0.6000000000000001,Ireland
4,nkiegykdcm.com,4,6,no,15,yes,no,4,0.3,Poland
5,ltizbxo.net,1,8,no,15,no,no,3,0.3,Malta
6,mcrju.net,2,23,no,19,yes,no,6,0.3,Luxembourg
7,sgwcbvh.de,2,0,yes,16,no,no,5,0.7,Ireland
8,chdmiou.de,2,43,yes,1,yes,no,1,0.5,Portugal
9,fllgviw.in,4,7,no,0,no,yes,4,0.2,Bulgaria
10,ctufrxhfom.edu,3,23,no,15,yes,no,2,0.3,Czech Republic
11,wrhvkyybhb.de,2,10,no,11,no,yes,1,0.5,Malta
12,micgswk.gov,5,16,no,4,yes,yes,2,0.2,Finland
13,pmuoeiehxr.net,4,7,yes,4,no,yes,6,0.6000000000000001,Latvia
14,xsnsmlh.gov,1,34,no,8,no,no,0,0.1,Hungary
15,pcybdeufz.in,3,34,yes,8,yes,yes,1,0.7000000000000001,Italy
16,tcmmtoqi.net,5,32,no,2,yes,yes,7,0.30000000000000004,Greece
17,vxdvr.de,5,4,yes,18,no,no,4,0.7,Poland
18,yukdjnf.org,1,41,no,15,yes,yes,1,0.6,Finland
19,xxiqy.gov,3,38,no,15,no,yes,1,0.6,Malta
20,dujuqtgel.de,4,40,no,2,yes,no,1,0.1,Estonia
21,ryqatk.org,0,27,no,19,no,yes,5,0.6,Denmark
22,dlzjh.com,3,6,yes,0,no,yes,1,0.6000000000000001,Croatia
23,sccxpc.de,1,8,no,19,no,yes,2,0.5,Czech Republic
24,yeevprfiq.de,5,7,yes,10,no,no,0,0.4,Croatia
25,ngryxwgwj.org,4,11,yes,16,no,no,6,0.7,Italy
26,uloqodhhck.com,3,33,yes,7,no,no,3,0.5,Poland
27,rhshacwub.gov,0,32,yes,3,yes,yes,1,0.7000000000000001,Cyprus
28,bkcqh.edu,0,47,no,5,yes,yes,4,0.30000000000000004,Czech Republic
29,pgrexssphz.org,2,22,yes,7,yes,no,1,0.4,Ireland
30,gddvnlnn.org,2,23,yes,19,no,yes,4,0.8999999999999999,Netherlands
31,bvuudbmxkz.de,1,36,yes,2,no,yes,2,0.7000000000000001,Sweden
32,hggro.gov,3,34,no,15,no,no,4,0.4,Italy
33,fiohcozr.com,3,43,no,2,no,no,7,0.1,Estonia
34,uracy.de,5,39,no,17,yes,yes,3,0.6,Bulgaria
35,fnppgm.com,5,21,no,13,yes,yes,0,0.5,Czech Republic
36,mamizz.org,5,26,yes,17,no,yes,4,0.9999999999999999,Denmark
37,nwxzrvw.org,2,34,yes,1,yes,no,4,0.5,Cyprus
38,gjgbsx.net,3,0,no,2,yes,no,0,0.0,Switzerland
39,xkbbs.org,3,34,yes,15,no,no,3,0.7999999999999999,Italy
40,qfbqcfctc.in,0,36,yes,8,yes,no,1,0.5,Estonia
